Date Time,Nominal Total,Risk Capital,Leverage
6/4/2019 9:30:00 PM,1875705,454375.080000001,4.12809831032106
6/4/2019 10:00:00 PM,1876940,454375.080000001,4.13081632909973
6/4/2019 10:30:00 PM,1875835,454375.080000001,4.12838441756092
6/4/2019 11:00:00 PM,1873950,454375.080000001,4.12423586258295
6/4/2019 11:30:00 PM,1873495,454375.080000001,4.12323448724344
6/5/2019 12:00:00 AM,1874080,454375.080000001,4.12452196982281
6/5/2019 12:30:00 AM,1872975,454375.080000001,4.122090058284
6/5/2019 1:00:00 AM,1873430,454375.080000001,4.12309143362351
6/5/2019 1:30:00 AM,1872260,454375.080000001,4.12051646846477
6/5/2019 2:00:00 AM,1870375,454375.080000001,4.1163679134868
6/5/2019 2:30:00 AM,1869270,454375.080000001,4.11393600194798
6/5/2019 3:00:00 AM,1869465,454375.080000001,4.11436516280778
6/5/2019 3:30:00 AM,1870245,454375.080000001,4.11608180624694
6/5/2019 4:00:00 AM,1875640,454375.080000001,4.12795525670113
6/5/2019 4:30:00 AM,1875380,454375.080000001,4.12738304222141
6/5/2019 5:00:00 AM,1874210,454375.080000001,4.12480807706267
6/5/2019 5:30:00 AM,2024330,454375.080000001,4.45519591435339
6/5/2019 6:00:00 AM,2460240,454375.080000001,5.41455750610266
6/5/2019 6:30:00 AM,2461005,454375.080000001,5.41624113716799
6/5/2019 7:00:00 AM,2461600,454375.080000001,5.41755062799658
6/5/2019 7:30:00 AM,2456925,454375.080000001,5.40726177148622
6/5/2019 8:00:00 AM,2458370,454375.080000001,5.41044196349851
6/5/2019 8:30:00 AM,2451400,454375.080000001,5.39510221379217
6/5/2019 9:00:00 AM,2454120,454375.080000001,5.40108845758001
6/5/2019 9:30:00 AM,2461430,454375.080000001,5.41717648775984
6/5/2019 4:30:00 PM,2023560,463743.520000001,4.36353266995514
6/5/2019 5:00:00 PM,2024470,463743.520000001,4.36549496152527
6/5/2019 10:30:00 PM,2024680,459114.000000001,4.40997225090064
6/5/2019 11:00:00 PM,2025590,459114.000000001,4.4119543294258
6/5/2019 11:30:00 PM,2025450,459114.000000001,4.41164939426808
6/6/2019 12:00:00 AM,2024750,459114.000000001,4.4101247184795
6/6/2019 12:30:00 AM,2024050,459114.000000001,4.40860004269091
6/6/2019 1:00:00 AM,2024890,459114.000000001,4.41042965363721
6/6/2019 1:30:00 AM,2023280,459114.000000001,4.40692289932347
6/6/2019 4:00:00 AM,2465425,454134.480000001,5.42884345623788
6/6/2019 4:30:00 AM,2465935,454134.480000001,5.42996647160549
6/6/2019 5:00:00 AM,2466445,454134.480000001,5.4310894869731
6/6/2019 5:30:00 AM,2612700,454134.480000001,5.75314166852073
6/6/2019 6:00:00 AM,2611890,454134.480000001,5.75135805587806
6/6/2019 6:30:00 AM,2612790,454134.480000001,5.75333984770325
6/6/2019 7:00:00 AM,2611530,454134.480000001,5.75056533914799
6/6/2019 7:30:00 AM,2612340,454134.480000001,5.75234895179065
6/6/2019 8:00:00 AM,2612340,454134.480000001,5.75234895179065
6/6/2019 8:30:00 AM,2609640,454134.480000001,5.74640357631509
6/6/2019 3:00:00 PM,2613240,451687.240000001,5.78550768890437
6/6/2019 3:30:00 PM,2621700,451687.240000001,5.80423746307289
6/6/2019 4:00:00 PM,2621340,451687.240000001,5.80344045140614
6/6/2019 4:30:00 PM,2621160,451687.240000001,5.80304194557277
6/7/2019 4:30:00 AM,2339280,455455.000000001,5.13613858668803
6/7/2019 5:00:00 AM,2338640,455455.000000001,5.13473339846965
6/7/2019 5:30:00 AM,2487015,455455.000000001,5.46050652644058
6/7/2019 6:00:00 AM,2485655,455455.000000001,5.45752050147653
6/7/2019 6:30:00 AM,2487525,455455.000000001,5.4616262858021
6/7/2019 7:00:00 AM,2488545,455455.000000001,5.46386580452513
6/7/2019 7:30:00 AM,2485655,455455.000000001,5.45752050147653
6/7/2019 8:00:00 AM,2485060,455455.000000001,5.45621411555476
6/7/2019 8:30:00 AM,2485655,455455.000000001,5.45752050147653
6/7/2019 9:00:00 AM,146175,452193.440000001,0.323257674857025
6/7/2019 9:30:00 AM,146365,452193.440000001,0.323677849019658
6/7/2019 10:00:00 AM,2654010,452193.440000001,5.86919173352005
6/7/2019 10:30:00 AM,2662740,452193.440000001,5.88849763057154
6/7/2019 11:00:00 AM,2680290,452193.440000001,5.92730845454103
6/7/2019 11:30:00 AM,2671740,452193.440000001,5.90840061722256
6/7/2019 12:00:00 PM,2672370,452193.440000001,5.90979382628813
6/7/2019 12:30:00 PM,2675250,452193.440000001,5.91616278201646
6/7/2019 1:00:00 PM,2677770,452193.440000001,5.92173561827875
6/7/2019 1:30:00 PM,2674080,452193.440000001,5.91357539375183
6/7/2019 2:00:00 PM,2677140,452193.440000001,5.92034240921318
6/7/2019 2:30:00 PM,2676780,452193.440000001,5.91954628974714
6/7/2019 3:00:00 PM,2671110,452193.440000001,5.90700740815699
6/7/2019 3:30:00 PM,2675430,452193.440000001,5.91656084174948
6/7/2019 4:00:00 PM,2671560,452193.440000001,5.90800255748954
6/7/2019 4:30:00 PM,2671470,452193.440000001,5.90780352762303
6/7/2019 5:00:00 PM,2674530,452193.440000001,5.91457054308438
6/9/2019 6:30:00 PM,2690100,452193.440000001,5.94900270999065
6/9/2019 7:00:00 PM,2687850,452193.440000001,5.94402696332789
6/9/2019 7:30:00 PM,2686590,452193.440000001,5.94124054519675
6/9/2019 8:00:00 PM,2684250,452193.440000001,5.93606576866748
6/9/2019 8:30:00 PM,2680560,452193.440000001,5.92790554414056
6/9/2019 9:00:00 PM,2677770,452193.440000001,5.92173561827875
6/9/2019 9:30:00 PM,2678940,452193.440000001,5.92432300654338
6/9/2019 10:00:00 PM,2681820,452193.440000001,5.93069196227171
6/9/2019 10:30:00 PM,2680200,452193.440000001,5.92710942467452
6/9/2019 11:00:00 PM,2677500,452193.440000001,5.92113852867922
6/9/2019 11:30:00 PM,2677680,452193.440000001,5.92153658841224
6/10/2019 12:00:00 AM,2679030,452193.440000001,5.92452203640989
6/10/2019 12:30:00 AM,2679480,452193.440000001,5.92551718574244
6/10/2019 1:00:00 AM,2681370,452193.440000001,5.92969681293916
6/10/2019 1:30:00 AM,2680470,452193.440000001,5.92770651427405
6/10/2019 2:00:00 AM,2679480,452193.440000001,5.92551718574244
6/10/2019 2:30:00 AM,2681640,452193.440000001,5.93029390253869
6/10/2019 3:00:00 AM,2680200,452193.440000001,5.92710942467452
6/10/2019 3:30:00 AM,2680830,452193.440000001,5.9285026337401
6/10/2019 4:00:00 AM,2681280,452193.440000001,5.92949778307265
6/10/2019 4:30:00 AM,2681100,452193.440000001,5.92909972333963
6/10/2019 5:00:00 AM,2680110,452193.440000001,5.92691039480801
6/10/2019 5:30:00 AM,2679480,452193.440000001,5.92551718574244
6/10/2019 6:00:00 AM,2680740,452193.440000001,5.92830360387359
6/10/2019 6:30:00 AM,2681550,452193.440000001,5.93009487267218
6/10/2019 7:00:00 AM,2680200,452193.440000001,5.92710942467452
6/10/2019 7:30:00 AM,2685960,452193.440000001,5.93984733613118
6/10/2019 8:00:00 AM,2687940,452193.440000001,5.9442259931944
6/10/2019 8:30:00 AM,2685240,452193.440000001,5.9382550971991
6/10/2019 9:00:00 AM,2687220,452193.440000001,5.94263375426232
6/10/2019 9:30:00 AM,2689110,452193.440000001,5.94681338145904
6/10/2019 10:00:00 AM,2704230,452193.440000001,5.98025039903275
6/10/2019 10:30:00 AM,2712510,452193.440000001,5.99856114675169
6/10/2019 11:00:00 AM,2714490,452193.440000001,6.00293980381492
6/10/2019 11:30:00 AM,2719980,452193.440000001,6.01508062567204
6/10/2019 12:00:00 PM,2726010,452193.440000001,6.02841562672823
6/10/2019 12:30:00 PM,2718270,452193.440000001,6.01129905820835
6/10/2019 9:30:00 PM,903630,525371.200000001,1.71998388948614
6/10/2019 10:00:00 PM,904380,525371.200000001,1.72141145156034
6/10/2019 10:30:00 PM,1055285,525371.200000001,2.00864645797105
6/10/2019 11:00:00 PM,1056090,525371.200000001,2.01017870793069
6/10/2019 11:30:00 PM,1055880,525371.200000001,2.00977899054992
6/11/2019 12:00:00 AM,1055390,525371.200000001,2.00884631666143
6/11/2019 12:30:00 AM,1055460,525371.200000001,2.00897955578836
6/11/2019 1:00:00 AM,1055880,525371.200000001,2.00977899054992
6/11/2019 1:30:00 AM,1055565,525371.200000001,2.00917941447875
6/11/2019 2:00:00 AM,1056370,525371.200000001,2.0107116644384
